state_fips,county_fips,population,high_school,bachelors,graduate,white,black,native,asian,hispanic,other,0_to_17,18_to_24,25_to_49,45_to_64,65_plus,per_capita_income,median_household_income,$0_to_50,$50_to_100,$100_to_200,$200_plus
37,039,27092.0,0.828278388278,0.18568986569,0.0160195360195,0.9164698065849697,0.0161671342093607,0.016942270781042375,0.0037280377971356856,0.02831094049904031,0.018381810128451203,0.181086667651,0.0631551749594,0.193599586594,0.302487819282,0.259670751513,18787.0,34662.0,0.65502265861,0.274641238671,0.0654267371601,0.00490936555891
37,041,14656.0,0.825537174368,0.200798630918,0.0198706978513,0.6019377729257642,0.3406795851528384,0.01050764192139738,0.002183406113537118,0.03309224890829694,0.011599344978165938,0.212540938865,0.0698007641921,0.22004639738,0.283024017467,0.214587882096,21451.0,38759.0,0.616892911011,0.267973856209,0.102061337355,0.0130718954248
37,043,10656.0,0.882338120433,0.21164021164,0.026455026455,0.9602102102102102,0.005255255255255256,0.0,0.00121996996996997,0.029654654654654656,0.00365990990990991,0.187875375375,0.0671921921922,0.190409159159,0.285191441441,0.269331831832,22106.0,37076.0,0.647577092511,0.241629955947,0.0969162995595,0.0138766519824
37,045,97178.0,0.823784406451,0.160103674063,0.0175366800049,0.7362365967605836,0.20646648418366298,0.002510856366667353,0.009498034534565436,0.030840313651237933,0.014447714503282636,0.224731935212,0.0963489678734,0.22966103439,0.28243017967,0.166827882854,20825.0,39453.0,0.610818893013,0.278909566657,0.0955063679812,0.0147651723493
37,047,57230.0,0.796048616762,0.120728234337,0.00808584214809,0.6020793290232396,0.30050672724095756,0.032325703302463746,0.00342477721474751,0.047772147475100474,0.013891315743491176,0.224882054866,0.0879259129827,0.239017997554,0.276393499913,0.171780534685,19814.0,34949.0,0.65095882941,0.247523402708,0.088066890848,0.0134508770335
37,049,104450.0,0.872957042065,0.222753118395,0.0192462266679,0.6658879846816659,0.21102920057443753,0.004001914791766395,0.024873145045476306,0.06934418382000958,0.024863571086644328,0.227726184777,0.129076112973,0.240564863571,0.237146960268,0.165485878411,24553.0,47985.0,0.521467194937,0.331040841245,0.125588697017,0.0219032668012
37,051,324603.0,0.900206804469,0.233337683589,0.0181907620644,0.45511902231341056,0.3529788695729861,0.013206901969482722,0.02583463492327551,0.10701687907998386,0.0458436921408613,0.260718477648,0.125541045523,0.286602403551,0.222588823886,0.104549249391,22931.0,44171.0,0.558971975571,0.297774842429,0.125102941057,0.0181502409432
37,053,24492.0,0.864292756481,0.205416690831,0.0074812967581,0.8762453045892536,0.05989710926016659,0.006369426751592357,0.004491262453045893,0.034501061571125265,0.018495835374816267,0.223501551527,0.0724726441287,0.237506124449,0.324799934673,0.141719745223,27521.0,60600.0,0.390215053763,0.365161290323,0.223440860215,0.0211827956989
37,055,34863.0,0.921199875661,0.293868511035,0.0268106931924,0.8781516220635057,0.022344606029314745,0.0022373289734102055,0.0048475461090554455,0.06832458480337321,0.024094312021340675,0.19628259186,0.0655135817342,0.23876315865,0.323064567019,0.176376100737,30682.0,54496.0,0.445320328679,0.357204890106,0.159529694702,0.0379450865121
37,057,163867.0,0.819342840522,0.186818029579,0.0121278358512,0.8132937077019778,0.09243471839967779,0.0052115435078447766,0.012961731160026118,0.066273258191094,0.009825041039379498,0.229069916457,0.0785515082353,0.242800563872,0.288160520422,0.161417491014,23060.0,43363.0,0.556571641861,0.308916157327,0.115522791956,0.0189894088555
37,059,41447.0,0.850686009512,0.244089369419,0.0221370650426,0.8484570656501074,0.06574661616039762,0.0035466981928728254,0.004101623760465172,0.0635510410886192,0.014596955147537819,0.223779766931,0.0710545998504,0.22242864381,0.300287113663,0.182449875745,28141.0,51527.0,0.488332384747,0.318661860495,0.141402643395,0.0516031113641
37,061,59453.0,0.720462773094,0.106908685856,0.00691121743753,0.5218071417758565,0.24784283383513028,0.00270802146233159,0.004675962525019763,0.21238625468857752,0.010579785713084286,0.247842833835,0.087749987385,0.242578170992,0.268531445007,0.153297562781,17593.0,35035.0,0.652829672833,0.265697621434,0.0714936662718,0.00997903946049
37,063,288817.0,0.874526676365,0.457687188535,0.0831708298511,0.4206573712766215,0.37077111111880534,0.00339315206514852,0.046198804087017036,0.13423032577722224,0.024749235675185326,0.22031251623,0.108528930084,0.326213484663,0.237811486166,0.107133582857,30268.0,52503.0,0.476878637637,0.29633972839,0.175951713731,0.0508299202414
37,065,55280.0,0.768817637423,0.106259566583,0.00773382743898,0.37026049204052097,0.5638024602026049,0.0031837916063675834,0.002279305354558611,0.04048480463096961,0.01998914616497829,0.234641823444,0.0917149059334,0.228256150507,0.281892185239,0.163494934877,17956.0,32659.0,0.66389232379,0.263768667364,0.0624940549795,0.00984495386664
37,067,361684.0,0.87299947294,0.329094544511,0.0394876642879,0.5792155583326882,0.2566992181019896,0.002156578670883976,0.021184238174760287,0.12371296490859424,0.01703144181108371,0.238476128333,0.100554627797,0.256638391524,0.26455137634,0.139779476007,26674.0,45471.0,0.538032358753,0.28103374835,0.141145335074,0.0397885578219
37,069,62296.0,0.828564683664,0.193696883853,0.00889990557129,0.6347919609605753,0.2546070373699756,0.004189675099524849,0.004318094259663542,0.07886541672017465,0.02322781559008604,0.232663413381,0.0873571336843,0.249181327854,0.284785540003,0.146012585078,21526.0,42685.0,0.562239428231,0.296775291415,0.127797158172,0.0131881221816
37,071,209807.0,0.829129630149,0.190267223733,0.0143496060343,0.7446844004251526,0.1509291873007097,0.0036795721782400016,0.01388418880208954,0.06269094930102427,0.024131701992783843,0.233037982527,0.0870419004132,0.25799425186,0.275848756238,0.146077108962,22828.0,42429.0,0.574059571028,0.282558168911,0.12298208827,0.0204001717909
37,073,11724.0,0.845590031762,0.132421206939,0.0173466894698,0.625554418287274,0.3360627772091436,0.0031559194814056637,0.0016206073012623677,0.018594336403957693,0.01501194131695667,0.221937905152,0.0798362333675,0.21954964176,0.308853633572,0.169822586148,22035.0,49258.0,0.507950931395,0.35597455702,0.129259427533,0.0068150840527
37,075,8700.0,0.78357712766,0.143450797872,0.00914228723404,0.8803448275862069,0.005402298850574713,0.07586206896551724,0.0,0.014712643678160919,0.02367816091954023,0.214367816092,0.0941379310345,0.197586206897,0.28183908046,0.212068965517,19372.0,34805.0,0.641567187022,0.266299357208,0.0777471686563,0.0143862871136
