state_fips,population,high_school,bachelors,graduate,white,black,native,asian,hispanic,other,0_to_17,18_to_24,25_to_49,45_to_64,65_plus,per_capita_income,median_household_income,$0_to_50,$50_to_100,$100_to_200,$200_plus
01,4817678.0,0.837046622302,0.230526908526,0.0247397217193,0.6655878620364416,0.2621931146083238,0.004805634581638706,0.012259848001464606,0.03981959773982404,0.015333943032307265,0.232044981005,0.100018722712,0.25515902059,0.267632456964,0.145144818728,23936.0,43511.0,0.557022300825,0.280392080227,0.136119063672,0.0264665552765
02,728300.0,0.91810027394,0.27684714296,0.0271463919586,0.6292516819991761,0.032660991349718525,0.13715776465742138,0.066388850748318,0.06212687079500206,0.07241384045036386,0.25825895922,0.109695180557,0.279246189757,0.26733900865,0.0854606618152,33129.0,71829.0,0.339695960712,0.330008979728,0.271159974253,0.0591350853074
04,6561516.0,0.858944318209,0.270977059244,0.0281977400919,0.5692058054876342,0.03926226804903013,0.04002520149306959,0.030202014290599915,0.3013062834869259,0.019998427192740215,0.246969145545,0.100014691727,0.25976100645,0.244739630293,0.148515525985,25537.0,49928.0,0.500614096746,0.303258231452,0.159634993629,0.0364926781739
05,2947036.0,0.842971892287,0.206460840539,0.0209491154448,0.739112450611394,0.15452882150065353,0.005662977988731729,0.014999138117077633,0.06722313538076902,0.018473476401374127,0.240769708955,0.0975610749241,0.254197777021,0.257430855952,0.150040583149,22595.0,41264.0,0.583825170774,0.275300047329,0.118541653421,0.0223331284747
06,38066920.0,0.814887364068,0.310019727445,0.0381545126962,0.39156309467642775,0.05663523605271979,0.003828415852924271,0.1365805271348457,0.3818131070231056,0.029579619259976903,0.242002452523,0.104782997942,0.280791931682,0.25111238314,0.121310234713,29906.0,61489.0,0.416083656699,0.289775767836,0.218107389231,0.0760331862335
08,5197580.0,0.903791709221,0.374611361605,0.0373611188732,0.6936303048726523,0.03827781390570227,0.005474086016954044,0.028763770831810188,0.20944401048180114,0.02441001389108008,0.237552283948,0.0980225412596,0.283792457259,0.262434440644,0.11819827689,31674.0,59448.0,0.423576575053,0.314545161571,0.206679731013,0.0551985323628
09,3592053.0,0.895335800914,0.369994913619,0.045396662373,0.698308181978384,0.09522214733468576,0.0013446349483150722,0.0405055270621007,0.14275819426940528,0.02186131440710925,0.221345564779,0.0950406355363,0.248402515219,0.287362964856,0.14784831961,38480.0,69899.0,0.367679393838,0.292880285148,0.245266574547,0.0941737464662
10,917060.0,0.880385449181,0.294359995233,0.0344411051304,0.6435980197587944,0.21050640088980002,0.002638867685865701,0.03449501668375025,0.08570649684862496,0.02305519813316468,0.223012670927,0.0999476588228,0.25052123089,0.272676815039,0.153841624321,30191.0,60231.0,0.41492304879,0.325121075016,0.210558449296,0.0493974268978
11,633736.0,0.889097196654,0.53391187678,0.122338899668,0.3537498264261459,0.4872154966736938,0.0021838746733655653,0.035816175820846535,0.09883768635520153,0.022196940050746683,0.170400608455,0.131010389184,0.358614628173,0.226799487484,0.113174886704,46502.0,69235.0,0.387364209188,0.252775648337,0.231512817157,0.128347325318
12,19361792.0,0.864539837347,0.267625359139,0.0305761209816,0.565995131029194,0.1538867889914322,0.002178259119817009,0.025464894984927017,0.23330438628821135,0.01917053958641845,0.207675870085,0.0918933020249,0.249340453611,0.269363393636,0.181726980643,26499.0,47212.0,0.524388888797,0.292120632218,0.144392773794,0.0390977051913
13,9907756.0,0.850343565847,0.283116259538,0.0308293564723,0.5499446090517368,0.3042296358529621,0.0018443126778657044,0.034944542437258246,0.09050656879317577,0.018530331187001377,0.251183820029,0.101806302053,0.276734005157,0.255392542973,0.114883329787,25427.0,49342.0,0.505371551873,0.294548237773,0.158764534596,0.0413156757581
15,1392704.0,0.907220072713,0.304712666283,0.0350954869419,0.2286250344653279,0.017982284821469602,0.0013786131152061026,0.46343444120215066,0.09584592275171178,0.192733703644134,0.22013938353,0.0971146776343,0.269121076697,0.261649998851,0.151974863288,29552.0,68201.0,0.36060484256,0.327269214455,0.251324120196,0.0608018227889
16,1599464.0,0.891427462882,0.254177552248,0.0247674268602,0.8334423281799402,0.0054386969634827665,0.010505394307092877,0.014241645951393716,0.11652278513301956,0.019849149465070798,0.267932257306,0.0971756788524,0.25463092636,0.246840816674,0.133420320807,23087.0,47334.0,0.524735202705,0.321372247159,0.129674212614,0.0242183375224
17,12868747.0,0.87592580154,0.318896847225,0.0331951608278,0.6285483738238073,0.1416069489904495,0.0011411367400415908,0.04858693701880999,0.1628359777373819,0.01728062568950963,0.237394207843,0.0973852388271,0.270458266061,0.262948133179,0.13181415409,30019.0,57166.0,0.441587792994,0.306487022544,0.196038490506,0.0558866939562
18,6542411.0,0.876125601384,0.23620306734,0.0226278208105,0.8080706027181722,0.0901595757282751,0.0018638388814154292,0.017654500764320676,0.06290280448599148,0.019348677421825073,0.243338732464,0.10127306279,0.254787111357,0.264750869366,0.135850224023,24953.0,48737.0,0.51137777603,0.3185524498,0.143567707508,0.026502066662
19,3078116.0,0.912664509339,0.263521473392,0.0257496289742,0.8780188920755423,0.030308474404473387,0.002555784122495708,0.01978417967354057,0.05299020569725118,0.01634246402669685,0.235661034217,0.101939628006,0.244488511804,0.265227171426,0.152683654547,27621.0,52716.0,0.473682630163,0.335942698916,0.160260925738,0.0301137451835
20,2882946.0,0.899506631419,0.307152286865,0.0293437757466,0.773924312144591,0.056521350035692655,0.006942551126521273,0.025560312263913372,0.10965900852808204,0.027392465901199675,0.25146881003,0.102700848368,0.253189272362,0.255607978783,0.137033090457,27367.0,51872.0,0.481327118179,0.319463111383,0.16382744407,0.0353823263675
21,4383272.0,0.834612881751,0.217719508972,0.025197051817,0.8580047051608936,0.07762123819831396,0.001685270729263436,0.012533331264863326,0.03185656742269245,0.018298887223973322,0.23232644472,0.0970081254369,0.2588354088,0.271638857913,0.140191163131,23741.0,43342.0,0.559356963052,0.285780752951,0.129406926776,0.0254553572215
22,4601049.0,0.82845881598,0.221216887846,0.0244032538557,0.5973720340730995,0.31910288284258653,0.0055417797115396945,0.016622731033727307,0.045755652678334875,0.015604919660712155,0.242468836998,0.103152563687,0.264218225018,0.26110132711,0.129059047187,24775.0,44991.0,0.54049855836,0.274144266369,0.151562998145,0.0337941771251
